County,Mean_Offense,Median_Offense,Variance_Offense,Offense_Std. Dev.,Rank,Name,Named For,Variance_percent,LIndex
Anderson,18.71875,20.0,63.84153543307085,7.990089826345562,1,Anderson,K.L. Anderson (1805-45),0.024781212880021462,5
Andrews,7.25,6.0,11.425531914893616,3.3801674388842953,2,Andrews,Richard Andrews (?-1835),0.0044350208172435025,5
Angelina,37.01759530791789,34.0,226.83498361221316,15.06104191655455,3,Angelina,the Angelina River,0.08804998155822151,5
Aransas,12.849056603773585,17.0,44.01523947750362,6.6343982001010176,4,Aransas,the Aransas River,0.017085288003460465,5
Archer,1.8,2.0,0.17777777777777778,0.4216370213557839,5,Archer,Branch T. Archer (1790-1856),6.900756578868435e-05,5
Armstrong,1.0,1.0,0.0,0.0,6,Armstrong,"a Texas pioneer family, now unknown",0.0,5
Atascosa,22.59493670886076,22.0,129.3762799322744,11.374369430094768,7,Atascosa,"Spanish for ""boggy""",0.05021967458768438,5
Austin,6.04,6.0,6.161632653061224,2.4822636147398254,8,Austin,Stephen F. Austin (1793-1836),0.0023917458975290327,5
Bailey,3.2857142857142856,3.0,3.514285714285715,1.8746428231227716,9,Bailey,Peter James Bailey III (1812-36),0.0013641317022870284,5
Bandera,7.117647058823529,7.0,7.785882352941176,2.790319399807337,10,Bandera,the Bandera Mountains,0.0030222269364011886,5
Bastrop,11.347826086956522,14.0,27.671355498721233,5.260356974457269,11,Bastrop,"Felipe Enrique Neri, Baron de Bastrop (1759-1827)",0.010741122478350436,5
Baylor,1.4,1.0,0.30000000000000004,0.5477225575051662,12,Baylor,Henry W. Baylor (1818-54),0.00011645026726840485,5
Bee,8.846153846153847,10.0,12.133603238866398,3.4833322033458707,13,Bee,Barnard E. Bee Sr. (1787-1853),0.004709871133649249,5
Bell,97.78858625162127,88.0,2676.829272154565,51.73808338308025,14,Bell,Peter H. Bell (1812-98),1.039058280580962,5
Bexar,455.0792216817234,460.0,29920.438115427434,172.97525289886826,15,Bexar,"Bejar, the hometown of the Spanish viceroy",11.614143384430973,3
Blanco,5.75,8.0,9.67741935483871,3.1108550841912757,16,Blanco,Blanco River,0.0037564602344646717,5
Borden,1.0,1.0,0.0,0.0,17,Borden,Gail Borden Jr. (1801-74),0.0,5
Bosque,6.2,6.0,6.709090909090909,2.590191288127367,18,Bosque,Bosque River,0.0026042514316388715,5
Bowie,73.70531400966183,67.0,1485.633987844788,38.543922839337306,19,Bowie,James Bowie (1796-1836),0.5766749164918388,5
Brazoria,94.9766081871345,107.0,1407.5849322760462,37.51779487491297,20,Brazoria,the county seat,0.5463788052217503,5
Brazos,69.17405582922824,63.0,884.3183389508258,29.737490461550816,21,Brazos,the Brazos River,0.3432636897372516,5
Brewster,1.5714285714285714,2.0,0.2857142857142857,0.5345224838248488,22,Brewster,Henry P. Brewster (1816-84),0.00011090501644609982,5
Briscoe,0.0,0.0,0.0,0.0,23,Briscoe,Andrew Briscoe (1810-49),0.0,5
Brooks,1.8,2.0,0.17777777777777778,0.4216370213557839,24,Brooks,James Brooks (1855-1944),6.900756578868435e-05,5
Brown,31.748858447488583,30.0,273.6843450211553,16.543407902278034,25,Brown,Henry S. Brown (1793-1834),0.10623538374963952,5
Burleson,9.32876712328767,10.0,16.695966514459666,4.086069812724651,26,Burleson,Edward Burleson (1798-1851),0.006480832543043886,5
Burnet,15.739495798319327,18.0,60.990884489388975,7.809666093335167,27,Burnet,David G. Burnet (1788-1870),0.023674682665752508,5
Caldwell,10.573333333333334,11.0,29.19387387387387,5.4031355594574775,28,Caldwell,Matthew Caldwell (1798-42),0.01133211471737571,5
Calhoun,6.9245283018867925,7.0,10.648040638606677,3.2631335612577486,29,Calhoun,John C. Calhoun (1782-1850),0.004133223927501945,5
Callahan,4.2727272727272725,5.0,5.35064935064935,2.313147066368533,30,Callahan,James H. Callahan (1812-56),0.0020769484898087785,5
Cameron,72.12040133779264,79.0,849.4293653327952,29.144971527397228,31,Cameron,Ewen Cameron (1811-43),0.3297209220621183,5
Camp,3.5217391304347827,3.0,3.0790513833992095,1.7547225944288771,32,Camp,John L. Camp (1828-91),0.0011951878550999651,5
Carson,2.230769230769231,2.0,0.6923076923076924,0.8320502943378437,33,Carson,Samuel P. Carson (1798-1838),0.00026873138600401117,5
Cass,10.518987341772151,11.0,24.175916910094127,4.916901149107447,34,Cass,Lewis Cass (1782-1866),0.009384306618797363,5
Castro,5.75,6.0,9.06521739130435,3.0108499449996424,35,Castro,Henri Castro (1786-1865),0.003518823293545277,5
Chambers,12.894736842105264,12.0,37.79413134606428,6.147693172732702,36,Chambers,Thomas Jefferson Chambers (1802-65),0.014670455654754609,5
Cherokee,18.81159420289855,23.0,70.54818576113406,8.399296742057281,37,Cherokee,the Cherokee tribe,0.02738451695728378,5
Childress,5.846153846153846,6.0,7.015384615384615,2.6486571343578267,38,Childress,George C. Childress (1804-41),0.002723144711507313,5
Clay,2.3333333333333335,2.5,0.6666666666666667,0.816496580927726,39,Clay,Henry Clay (1825-29),0.0002587783717075663,5
Cochran,1.5,1.5,0.3333333333333333,0.5773502691896257,40,Cochran,Robert E. Cochran (1810-36),0.00012938918585378312,5
Coke,1.5,1.5,0.3333333333333333,0.5773502691896257,41,Coke,Richard Coke (1829-97),0.00012938918585378312,5
Coleman,9.148148148148149,6.0,32.58141160027952,5.7080129292319866,42,Coleman,Robert M. Coleman (1799-1837),0.01264704696278152,5
Collin,118.9588785046729,98.0,2465.8766984604354,49.65759456981817,43,Collin,Collin McKinney (1766-1861),0.9571733352888313,5
Collingsworth,1.6666666666666667,2.0,0.2666666666666667,0.5163977794943223,44,Collingsworth,James Collinsworth (1806-38),0.00010351134868302654,5
Colorado,12.182795698924732,11.0,36.324918186068274,6.027015694858299,45,Colorado,the Colorado River,0.014100154770901966,5
Comal,32.302904564315355,36.0,117.82869986168747,10.85489289959544,46,Comal,the Comal River,0.045737278635940536,5
Comanche,6.190476190476191,6.0,8.596980255516842,2.932060752357775,47,Comanche,the Comanche tribe,0.003337068828187118,5
Concho,2.6923076923076925,3.0,0.2307692307692307,0.4803844614152613,48,Concho,the Concho River,8.957712866800369e-05,5
Cooke,38.95652173913044,33.0,612.9762673248531,24.758357524780457,49,Cooke,William G. Cooke (1808-47),0.237937500530561,5
Coryell,31.581132075471697,29.0,261.3807032590052,16.1672725980298,50,Coryell,James Coryell (1803-37),0.10145950917771589,5
Cottle,2.0,2.0,0.0,0.0,51,Cottle,George Washington Cottle (1811-36),0.0,5
Crane,2.111111111111111,2.0,0.611111111111111,0.7817359599705715,52,Crane,William C. Crane (1816-85),0.00023721350739860242,5
Crockett,1.3333333333333333,1.0,0.2666666666666667,0.5163977794943223,53,Crockett,David Crockett (1786-1836),0.00010351134868302654,5
Crosby,1.4444444444444444,1.0,0.2777777777777778,0.5270462766947299,54,Crosby,Stephen Crosby (1808-69),0.0001078243215448193,5
Culberson,1.5,1.5,0.3333333333333333,0.5773502691896257,55,Culberson,David B. Culberson (1830-1900),0.00012938918585378312,5
Dallam,1.6666666666666667,2.0,0.2666666666666667,0.5163977794943223,56,Dallam,James W. Dallam (1818-47),0.00010351134868302654,5
Dallas,422.5777195905737,482.0,19113.94258917945,138.2531829260341,57,Dallas,George M. Dallas,7.419412410209642,4
Dawson,8.540983606557377,8.0,15.352459016393443,3.9182214098227583,58,Dawson,Nicholas M. Dawson (1800-42),0.005959326518954159,5
Deaf Smith,13.11320754716981,14.0,24.672776280323454,4.967169846132046,59,Deaf Smith,"Erastus ""Deaf"" Smith (1787-1837)",0.009577171306990751,5
Delta,1.75,2.0,0.21428571428571425,0.4629100498862757,60,Delta,the county's triangular shape,8.317876233457486e-05,5
Denton,83.99728997289972,97.0,629.4382558750955,25.08860808963095,61,Denton,John B. Denton (1806-41),0.2443275104187115,5
DeWitt,0.0,0.0,0.0,0.0,62,DeWitt,Green DeWitt (1787-1835),0.0,5
Dickens,1.5,1.5,0.3333333333333333,0.5773502691896257,63,Dickens,James R. Dimpkins (?-1836),0.00012938918585378312,5
Dimmit,3.142857142857143,3.0,2.439560439560439,1.5619092289760115,64,Dimmit,Philip Dimmitt (1801-41),0.0009469582173474676,5
Donley,1.9090909090909092,2.0,0.6909090909090909,0.8312094145936335,65,Donley,Stockton P. Donley (1821-71),0.00026818849431511417,5
Duval,2.3333333333333335,2.5,0.6666666666666667,0.816496580927726,66,Duval,Burr H. DuVal (1809-36),0.0002587783717075663,5
Eastland,20.565217391304348,16.0,220.36432878451288,14.844673414545463,67,Eastland,William M. Eastland (1806-1843),0.08553828327793053,5
Ector,122.03239740820734,135.0,2321.4086790029787,48.18099914907306,68,Ector,Matthew Ector (1822-79),0.9010955370303048,5
Edwards,1.0,1.0,0.0,0.0,69,Edwards,Hayden Edwards (1771-1849),0.0,5
Ellis,74.29874776386404,53.0,1521.1059303287361,39.00135805749251,70,Ellis,Richard Ellis (1781-1846),0.5904439737677897,5
El Paso,152.13556851311952,161.0,2983.3339053658406,54.61990393039739,71,El Paso,a local mountain pass,1.1580334354358204,5
Erath,13.043956043956044,16.0,49.1091575091575,7.007792627436795,72,Erath,George B. Erath (1813-91),0.01906258172422527,5
Falls,7.8474576271186445,8.0,11.20046756282876,3.346709960965957,73,Falls,falls on the Brazos River,0.00434765813740836,5
Fannin,15.434782608695652,19.0,53.52860411899312,7.316324495195188,74,Fannin,James W. Fannin (1805-36),0.02077806752053795,5
Fayette,6.148148148148148,6.0,5.298392732354997,2.30182378394937,75,Fayette,Lafayette (1757-1834),0.002056664165919044,5
Fisher,2.5,3.0,1.0,1.0,76,Fisher,Samuel Rhoads Fisher (1794-1839),0.00038816755756134944,5
Floyd,1.75,2.0,0.21428571428571425,0.4629100498862757,77,Floyd,Dolphin W. Floyd (1804-36),8.317876233457486e-05,5
Foard,3.0,3.0,0.0,0.0,78,Foard,Robert L. Foard (1831-98),0.0,5
Fort Bend,46.435,49.0,250.30654135338352,15.821079019883047,79,Fort Bend,blockhouse (small fort) on a river bend,0.09716087879877179,5
Franklin,4.771428571428571,5.0,6.181512605042016,2.4862647898086028,80,Franklin,Benjamin C. Franklin (1805-73),0.002399462649933854,5
Freestone,8.136363636363637,11.0,15.329809725158563,3.9153300914684785,81,Freestone,a stone used in masonry,0.005950534798895021,5
Frio,7.27027027027027,6.0,20.036036036036037,4.476163093100612,82,Frio,the Frio River,0.007777339171319291,5
Gaines,6.607142857142857,7.0,9.58831168831169,3.0964999093027097,83,Gaines,James T. Gaines (1776-1856),0.0037218715291888874,5
Galveston,110.82845188284519,99.0,2742.2867707945384,52.36684801278896,84,Galveston,the county seat,1.064466757952116,5
Garza,4.043478260869565,4.0,3.0434782608695645,1.7445567519772938,85,Garza,family of Jose Antonio de la Garza (1776-1851),0.0011813795230128023,5
Gillespie,11.674698795180722,10.0,41.807522774022935,6.4658737053876125,86,Gillespie,Robert A. Gillespie (1815-46),0.016228324002882974,5
Glasscock,1.0,1.0,0.0,0.0,87,Glasscock,George Washington Glasscock (1810-68),0.0,5
Goliad,1.8888888888888888,2.0,0.8611111111111112,0.927960727138337,88,Goliad,the county seat,0.0003342553967889398,5
Gonzales,11.366197183098592,10.0,33.26398390342051,5.767493728078125,89,Gonzales,the county seat,0.012911999386550781,5
Gray,14.929203539823009,14.0,58.887800252844514,7.673838690827721,90,Gray,Peter W. Gray (1819-74),0.02285833359430727,5
Grayson,75.79304897314375,60.0,1891.553622492851,43.491994924271424,91,Grayson,Peter W. Grayson (1788-1838),0.7342397496393728,5
Gregg,81.07283763277694,87.0,1485.0068446711675,38.535786545381,92,Gregg,John Gregg (1828-1864),0.5764314798578933,5
Grimes,5.679245283018868,6.0,2.9912917271407835,1.7295351187937131,93,Grimes,Jesse Grimes (1788-1866),0.0011611224036777083,5
Guadalupe,32.44394618834081,32.0,226.5182402133073,15.050522921590044,94,Guadalupe,the Guadalupe River,0.08792703204669454,5
Hale,17.454545454545453,12.0,71.38782318598831,8.449131504834583,95,Hale,John C. Hale (1806-36),0.027710436965726552,5
Hall,2.8666666666666667,3.0,0.8380952380952381,0.9154754164341269,96,Hall,Warren D.C. Hall (1788-1867),0.0003253213815752262,5
Hamilton,6.2,6.0,9.852631578947367,3.1388901826835816,97,Hamilton,James Hamilton Jr. (1786-1857),0.0038244719355518208,5
Hansford,1.5714285714285714,2.0,0.2857142857142857,0.5345224838248488,98,Hansford,John M. Hansford (?-1844),0.00011090501644609982,5
Hardeman,3.740740740740741,4.0,0.8148148148148153,0.9026709338484403,99,Hardeman,Bailey (1795-1836) and T.J. Hardeman (1788-1854),0.00031628467653147007,5
Hardin,13.535714285714286,13.0,16.250965250965255,4.031248597018702,100,Hardin,family of William Hardin (1801-39),0.006308097489481546,5
Harris,820.0714461085195,844.0,84890.43099059118,291.3596248463249,101,Harris,John R. Harris (1790-1829),32.95171125794806,1
Harrison,25.91304347826087,25.0,85.04917410290483,9.222210911864076,102,Harrison,Jonas Harrison (1777-1836),0.03301333018413454,5
Hartley,4.2,6.0,5.511111111111112,2.3475755815545347,103,Hartley,Oliver C. (1823-59) and Rufus K. Hartley,0.0021392345394492147,5
Haskell,4.870967741935484,3.0,7.116129032258064,2.667607360961891,104,Haskell,Charles R. Haskell (1817-36),0.002762250425743022,5
Hays,47.889952153110045,53.0,157.8967333310385,12.565696691033033,105,Hays,John C. Hays (1817-83),0.061290389324024926,5
Hemphill,3.0,3.0,1.1111111111111112,1.0540925533894598,106,Hemphill,John Hemphill (1803-62),0.0004312972861792772,5
Henderson,36.153284671532845,42.0,180.47458624100958,13.434083007076053,107,Henderson,James Pinckney Henderson (1808-58),0.0700543793430678,5
Hidalgo,202.144121987211,214.0,5523.235616268573,74.31847425955792,108,Hidalgo,Miguel Hidalgo (1753-1811),2.1439408790028267,5
Hill,28.20446096654275,25.0,128.46923375686623,11.334426926707245,109,Hill,George Washington Hill (1814-1860),0.04986758868918082,5
Hockley,8.54054054054054,6.0,19.950388744909294,4.466585804046453,110,Hockley,George Washington Hockley (1802-51),0.007744093671510876,5
Hood,46.00523560209424,56.0,603.6052356020942,24.568378774394013,111,Hood,John Bell Hood (1831-79),0.2342999700349078,5
Hopkins,28.427312775330396,29.0,234.03341000350855,15.298150541928543,112,Hopkins,family of David Hopkins (1825-1906),0.09084417714881579,5
Houston,11.430379746835444,13.0,17.453424212917884,4.177729552390614,113,Houston,Sam Houston (1793-1863),0.006774853047810452,5
Howard,13.47787610619469,12.0,50.18030973451329,7.0838061615570265,114,Howard,Volney E. Howard (1809-89),0.019478368267318028,5
Hudspeth,2.4285714285714284,2.0,0.28571428571428575,0.5345224838248488,115,Hudspeth,Claude B. Hudspeth (1877-1941),0.00011090501644609985,5
Hunt,39.90847457627119,44.0,462.69567623659646,21.510362066608653,116,Hunt,Memucan Hunt Jr. (1807-56),0.17960345053895654,5
Hutchinson,8.0,9.0,8.953846153846156,2.992297805006406,117,Hutchinson,Anderson Hutchinson (1798-1853),0.003475592592318545,5
Irion,1.0,1.0,0.0,0.0,118,Irion,Robert A. Irion (1804-61),0.0,5
Jack,2.9047619047619047,3.0,1.7904761904761908,1.3380867649282653,119,Jack,Patrick (1808-44) and William (1806-44) Jack,0.0006950047697288924,5
Jackson,6.333333333333333,4.0,9.306666666666667,3.0506829836393465,120,Jackson,Andrew Jackson (1767-1845),0.0036125460690376253,5
Jasper,9.333333333333334,8.0,20.760563380281692,4.556376123662498,121,Jasper,William Jasper (1750-79),0.008058577180921535,5
Jeff Davis,1.6666666666666667,2.0,0.3333333333333333,0.5773502691896257,122,Jeff Davis,Jefferson Davis (1808-89),0.00012938918585378312,5
Jefferson,90.0904033379694,95.0,1166.447247608681,34.15329043604263,123,Jefferson,Thomas Jefferson (1743-1826),0.4527769791284203,5
Jim Hogg,1.0,1.0,0.0,0.0,124,Jim Hogg,James S. Hogg (1851-1906),0.0,5
Jim Wells,6.0,6.0,7.5652173913043494,2.7504940267712543,125,Jim Wells,James B. Wells Jr. (1850-1923),0.0029365719572032527,5
