COUNTY,AVG_OFFENCE_COUNT,Offense Count,OFFENSE_PCT,SAFTEY_LINDEX
Anderson,43.0,128.0,0.20207761043225664,2
Andrews,16.0,48.0,0.07577910391209625,3
Angelina,114.0,341.0,0.5383473840421837,2
Aransas,18.0,53.0,0.08367276056960626,3
Archer,4.0,10.0,0.01578731331502005,4
Armstrong,1.0,1.0,0.001578731331502005,5
Atascosa,53.0,158.0,0.2494395503773168,2
Austin,17.0,50.0,0.07893656657510024,3
Bailey,7.0,21.0,0.033153357961542104,4
Bandera,17.0,51.0,0.08051529790660225,3
Bastrop,23.0,69.0,0.10893246187363835,2
Baylor,3.0,5.0,0.007893656657510024,5
Bee,20.0,39.0,0.0615705219285782,3
Bell,257.0,771.0,1.2172018565880458,1
Bexar,1080.0,4317.0,6.815383158094155,1
Blanco,11.0,32.0,0.05051940260806416,3
Borden,1.0,1.0,0.001578731331502005,5
Bosque,15.0,45.0,0.07104290991759023,3
Bowie,156.0,621.0,0.9803921568627451,1
Brazoria,285.0,855.0,1.3498152884342143,1
Brazos,203.0,609.0,0.961447380884721,1
Brewster,3.0,7.0,0.011051119320514035,4
Briscoe,0.0,0.0,0.0,5
Brooks,5.0,10.0,0.01578731331502005,4
Brown,73.0,219.0,0.3457421615989391,2
Burleson,25.0,73.0,0.11524738719964638,2
Burnet,40.0,119.0,0.1878690284487386,2
Caldwell,25.0,75.0,0.11840484986265039,2
Calhoun,18.0,53.0,0.08367276056960626,3
Callahan,8.0,22.0,0.03473208929304411,4
Cameron,200.0,598.0,0.944081336238199,1
Camp,8.0,23.0,0.03631082062454612,4
Carson,5.0,13.0,0.020523507309526064,4
Cass,27.0,79.0,0.1247197751886584,2
Castro,8.0,24.0,0.03788955195604812,4
Chambers,38.0,114.0,0.17997537179122858,2
Cherokee,46.0,138.0,0.2178649237472767,2
Childress,13.0,26.0,0.04104701461905213,4
Clay,2.0,6.0,0.00947238798901203,5
Cochran,2.0,4.0,0.00631492532600802,5
Coke,2.0,4.0,0.00631492532600802,5
Coleman,18.0,54.0,0.08525149190110827,3
Collin,357.0,1070.0,1.6892425247071452,1
Collingsworth,3.0,6.0,0.00947238798901203,5
Colorado,31.0,93.0,0.1468220138296865,2
Comal,81.0,241.0,0.38047425089198317,2
Comanche,14.0,42.0,0.06630671592308421,3
Concho,7.0,13.0,0.020523507309526064,4
Cooke,58.0,230.0,0.36310820624546114,2
Coryell,89.0,265.0,0.4183638028480314,2
Cottle,2.0,2.0,0.00315746266300401,5
Crane,5.0,9.0,0.014208581983518044,4
Crockett,3.0,6.0,0.00947238798901203,5
Crosby,3.0,9.0,0.014208581983518044,4
Culberson,4.0,4.0,0.00631492532600802,5
Dallam,3.0,6.0,0.00947238798901203,5
Dallas,1051.0,4201.0,6.632250323639923,1
Dawson,21.0,61.0,0.0963026112216223,3
Deaf Smith,36.0,106.0,0.16734552113921253,2
Delta,3.0,8.0,0.01262985065201604,4
Denton,246.0,738.0,1.1651037226484797,1
DeWitt,0.0,0.0,0.0,5
Dickens,4.0,4.0,0.00631492532600802,5
Dimmit,7.0,14.0,0.02210223864102807,4
Donley,6.0,11.0,0.017366044646522055,4
Duval,3.0,6.0,0.00947238798901203,5
Eastland,35.0,138.0,0.2178649237472767,2
Ector,309.0,926.0,1.4619052129708565,1
Edwards,1.0,1.0,0.001578731331502005,5
Ellis,187.0,559.0,0.8825108143096209,1
El Paso,343.0,1372.0,2.166019386820751,1
Erath,31.0,91.0,0.14366455116668247,2
Falls,20.0,59.0,0.09314514855861829,3
Fannin,39.0,115.0,0.18155410312273057,2
Fayette,18.0,54.0,0.08525149190110827,3
Fisher,4.0,4.0,0.00631492532600802,5
Floyd,4.0,8.0,0.01262985065201604,4
Foard,3.0,3.0,0.004736193994506015,5
Fort Bend,134.0,400.0,0.631492532600802,2
Franklin,12.0,35.0,0.05525559660257017,3
Freestone,15.0,44.0,0.06946417858608822,3
Frio,13.0,37.0,0.058413059265574184,3
Gaines,19.0,56.0,0.08840895456411228,3
Galveston,319.0,956.0,1.5092671529159167,1
Garza,12.0,23.0,0.03631082062454612,4
Gillespie,28.0,83.0,0.13103470051466642,2
Glasscock,1.0,1.0,0.001578731331502005,5
Goliad,5.0,9.0,0.014208581983518044,4
Gonzales,24.0,71.0,0.11208992453664236,2
Gray,38.0,113.0,0.17839664045972659,2
Grayson,159.0,633.0,0.9993369328407692,1
Gregg,220.0,659.0,1.0403839474598213,1
Grimes,18.0,53.0,0.08367276056960626,3
Guadalupe,75.0,223.0,0.35205708692494714,2
Hale,37.0,110.0,0.17366044646522055,2
Hall,8.0,15.0,0.023680969972530073,4
Hamilton,10.0,20.0,0.0315746266300401,4
Hansford,3.0,7.0,0.011051119320514035,4
Hardeman,9.0,27.0,0.042625745950554135,4
Hardin,38.0,112.0,0.17681790912822457,2
Harris,2037.0,8146.0,12.860345426415332,1
Harrison,58.0,230.0,0.36310820624546114,2
Hartley,5.0,10.0,0.01578731331502005,4
Haskell,11.0,31.0,0.04894067127656215,4
Hays,140.0,418.0,0.659909696567838,2
Hemphill,4.0,10.0,0.01578731331502005,4
Henderson,92.0,274.0,0.43257238483154936,2
Hidalgo,509.0,2033.0,3.2095607969435758,1
Hill,68.0,269.0,0.42467872817403934,2
Hockley,25.0,74.0,0.11682611853114837,2
Hood,64.0,191.0,0.30153768431688294,2
Hopkins,76.0,227.0,0.35837201225095516,2
Houston,27.0,79.0,0.1247197751886584,2
Howard,38.0,113.0,0.17839664045972659,2
Hudspeth,4.0,7.0,0.011051119320514035,4
Hunt,99.0,295.0,0.4657257427930914,2
Hutchinson,22.0,66.0,0.10419626787913233,2
Irion,1.0,3.0,0.004736193994506015,5
Jack,6.0,21.0,0.033153357961542104,4
Jackson,17.0,51.0,0.08051529790660225,3
Jasper,24.0,72.0,0.11366865586814436,2
Jeff Davis,2.0,3.0,0.004736193994506015,5
Jefferson,240.0,719.0,1.1351078273499415,1
Jim Hogg,1.0,1.0,0.001578731331502005,5
Jim Wells,12.0,24.0,0.03788955195604812,4
Johnson,257.0,771.0,1.2172018565880458,1
Jones,15.0,45.0,0.07104290991759023,3
Karnes,11.0,22.0,0.03473208929304411,4
Kaufman,105.0,419.0,0.6614884278993401,2
Kendall,40.0,119.0,0.1878690284487386,2
Kenedy,3.0,3.0,0.004736193994506015,5
Kent,3.0,3.0,0.004736193994506015,5
Kerr,102.0,304.0,0.4799343247766095,2
Kimble,5.0,15.0,0.023680969972530073,4
King,0.0,0.0,0.0,5
Kinney,2.0,5.0,0.007893656657510024,5
Kleberg,33.0,99.0,0.1562944018186985,2
Knox,4.0,10.0,0.01578731331502005,4
Lamar,127.0,381.0,0.6014966373022639,2
Lamb,15.0,45.0,0.07104290991759023,3
Lampasas,28.0,83.0,0.13103470051466642,2
La Salle,0.0,0.0,0.0,5
Lavaca,13.0,38.0,0.05999179059707619,3
Lee,27.0,80.0,0.1262985065201604,2
Leon,16.0,47.0,0.07420037258059424,3
Liberty,87.0,260.0,0.41047014619052136,2
Limestone,39.0,117.0,0.18471156578573458,2
Lipscomb,4.0,7.0,0.011051119320514035,4
Live Oak,16.0,31.0,0.04894067127656215,4
Llano,14.0,40.0,0.0631492532600802,3
Loving,0.0,0.0,0.0,5
Lubbock,208.0,623.0,0.9835496195257492,1
Lynn,4.0,11.0,0.017366044646522055,4
McCulloch,20.0,59.0,0.09314514855861829,3
McLennan,326.0,976.0,1.5408417795459568,1
McMullen,1.0,2.0,0.00315746266300401,5
Madison,11.0,32.0,0.05051940260806416,3
Marion,11.0,32.0,0.05051940260806416,3
Martin,8.0,8.0,0.01262985065201604,4
Mason,12.0,12.0,0.01894477597802406,4
Matagorda,44.0,132.0,0.20839253575826466,2
Maverick,12.0,23.0,0.03631082062454612,4
Medina,17.0,34.0,0.05367686527106817,3
Menard,4.0,4.0,0.00631492532600802,5
Midland,198.0,592.0,0.9346089482491869,1
Milam,45.0,135.0,0.2131287297527707,2
Mills,6.0,18.0,0.02841716396703609,4
Mitchell,11.0,32.0,0.05051940260806416,3
Montague,12.0,36.0,0.05683432793407218,3
Montgomery,470.0,1878.0,2.964857440560765,1
Moore,16.0,32.0,0.05051940260806416,3
Morris,16.0,46.0,0.07262164124909223,3
Motley,5.0,5.0,0.007893656657510024,5
Nacogdoches,76.0,228.0,0.35995074358245716,2
Navarro,97.0,289.0,0.45625335480407947,2
Newton,8.0,23.0,0.03631082062454612,4
Nolan,24.0,71.0,0.11208992453664236,2
Nueces,159.0,477.0,0.7530548451264564,2
Ochiltree,13.0,39.0,0.0615705219285782,3
Oldham,5.0,10.0,0.01578731331502005,4
Orange,98.0,293.0,0.46256828013008744,2
Palo Pinto,59.0,177.0,0.2794354456758549,2
Panola,15.0,45.0,0.07104290991759023,3
Parker,180.0,538.0,0.8493574563480787,1
Parmer,11.0,21.0,0.033153357961542104,4
Pecos,8.0,24.0,0.03788955195604812,4
Polk,63.0,189.0,0.29838022165387895,2
Potter,208.0,624.0,0.9851283508572511,1
Presidio,1.0,1.0,0.001578731331502005,5
Rains,11.0,33.0,0.052098133939566166,3
Randall,96.0,286.0,0.45151716080957344,2
Reagan,3.0,6.0,0.00947238798901203,5
Real,2.0,4.0,0.00631492532600802,5
Red River,13.0,38.0,0.05999179059707619,3
Reeves,13.0,39.0,0.0615705219285782,3
Refugio,4.0,16.0,0.02525970130403208,4
Roberts,0.0,0.0,0.0,5
Robertson,21.0,61.0,0.0963026112216223,3
Rockwall,153.0,458.0,0.7230589498279183,2
Runnels,13.0,38.0,0.05999179059707619,3
Rusk,42.0,125.0,0.1973414164377506,2
Sabine,8.0,23.0,0.03631082062454612,4
San Augustine,7.0,13.0,0.020523507309526064,4
San Jacinto,32.0,95.0,0.14997947649269047,2
San Patricio,50.0,149.0,0.23523096839379873,2
San Saba,6.0,17.0,0.026838432635534086,4
Schleicher,1.0,1.0,0.001578731331502005,5
Scurry,7.0,20.0,0.0315746266300401,4
Shackelford,2.0,2.0,0.00315746266300401,5
Shelby,20.0,59.0,0.09314514855861829,3
Sherman,1.0,2.0,0.00315746266300401,5
Smith,268.0,1071.0,1.6908212560386473,1
Somervell,12.0,36.0,0.05683432793407218,3
Starr,20.0,60.0,0.0947238798901203,3
Stephens,8.0,23.0,0.03631082062454612,4
Sterling,3.0,5.0,0.007893656657510024,5
Stonewall,1.0,1.0,0.001578731331502005,5
Sutton,4.0,7.0,0.011051119320514035,4
Swisher,5.0,13.0,0.020523507309526064,4
Tarrant,1480.0,5917.0,9.341353288497363,1
Taylor,248.0,742.0,1.1714186479744877,1
Terrell,6.0,6.0,0.00947238798901203,5
Terry,24.0,71.0,0.11208992453664236,2
Throckmorton,7.0,13.0,0.020523507309526064,4
Titus,30.0,89.0,0.14050708850367846,2
Tom Green,231.0,692.0,1.0924820813993874,1
Travis,480.0,1918.0,3.0280066938208456,1
Trinity,19.0,57.0,0.08998768589561429,3
Tyler,11.0,33.0,0.052098133939566166,3
Upshur,42.0,126.0,0.19892014776925265,2
Upton,3.0,7.0,0.011051119320514035,4
Uvalde,18.0,36.0,0.05683432793407218,3
Val Verde,35.0,105.0,0.16576678980771054,2
Van Zandt,56.0,168.0,0.26522686369233683,2
Victoria,96.0,287.0,0.4530958921410754,2
Walker,29.0,85.0,0.13419216317767044,2
Waller,28.0,83.0,0.13103470051466642,2
Ward,14.0,27.0,0.042625745950554135,4
Washington,28.0,83.0,0.13103470051466642,2
Webb,41.0,122.0,0.1926052224432446,2
Wharton,22.0,64.0,0.10103880521612832,2
Wheeler,10.0,29.0,0.04578320861355815,4
Wichita,179.0,535.0,0.8446212623535726,1
Wilbarger,30.0,90.0,0.14208581983518045,2
Willacy,7.0,21.0,0.033153357961542104,4
Williamson,191.0,571.0,0.9014555902876448,1
Wilson,24.0,72.0,0.11366865586814436,2
Winkler,12.0,35.0,0.05525559660257017,3
Wise,59.0,177.0,0.2794354456758549,2
Wood,40.0,120.0,0.1894477597802406,2
Yoakum,4.0,8.0,0.01262985065201604,4
Young,18.0,54.0,0.08525149190110827,3
Zapata,2.0,4.0,0.00631492532600802,5
Zavala,7.0,13.0,0.020523507309526064,4
